Orig_empl,Employer,Interest2
NM Council of Outfitters and Guides,NM Council of Outfitters and Guides,TOURISM
NM Dental Hygenists Association,NM Dental Hygenists Association,HEALTHCARE
NM Early Childhood Development Partnership,NM Early Childhood Development Partnership,EDUCATION
"NM Energy, Minerals & Natural Resources Dept","New Mexico Energy, Minerals and Natural Resources ","CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
NM Entertainment & Digital Industry Association,NM Entertainment & Digital Industry Association,FILM
NM Exchange Carrier Group,NM Exchange Carrier Group,TELECOM
NM Farm & Livestock Bureau,NM Farm & Livestock Bureau,RANCHING & AGRICULTURE
NM Fraternal Order of Police ,NM Fraternal Order of Police ,LABOR & WORKFORCE
NM Gaming LLC,NM Gaming LLC,CASINO & GAMING
NM Golf Tourism Alliance,NM Golf Tourism Alliance,TOURISM
NM Health Care Association,NM HEALTHCARE Care Association,HEALTHCARE
NM Health Care Association 1,NM HEALTHCARE Care Association,HEALTHCARE
NM Health Connections,NM Health Connections,INSURANCE
NM Heart Institute Foundation,NM Heart Institute Foundation,HEALTHCARE
NM Highlands University,NM Highlands University,EDUCATION
NM Horseman's Association,NM Horseman's Association,CASINO & GAMING
NM Hospital Association,NM Hospital Association,HEALTHCARE
NM Interactive,NM Interactive,FILM
NM Inustrial Executives Assn.  (NMIDEA),NM Inustrial Executives Assn.  (NMIDEA),ECONOMIC & SUSTAINABLE DEVELOPMENT
NM Lottery Authority,NM Lottery Authority,CASINO & GAMING
NM Medical Insurance Pool,NM Medical Insurance Pool,INSURANCE
NM Medical Society,NM Medical Society,HEALTHCARE
NM Municipal Leauge,NM Municipal Leauge,CITY & COUNTY GOVERNMENT
NM Native Vote,NM Native Vote,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
NM Oil & Gas Association,NM Oil & Gas Association,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
NM Optometric Association,NM Optometric Association,HEALTHCARE
NM Religious Coalition for Reproductive Choice,NM Religious Coalition for Reproductive Choice,RELIGIOUS ORGANIZATIONS
NM School For The Arts-Art Institute,NM School For The Arts-Art Institute,EDUCATION
NM School for the Blind and Visually Impaired,NM School for the Blind and Visually Impaired,EDUCATION
NM School Nurses Association,NM School Nurses Association,EDUCATION
NM Sheet Metal Air Conditioning Contractors ,NM Sheet Metal Air Conditioning Contractors ,LABOR & WORKFORCE
NM Smoke Free Alliance,NM Smoke Free Alliance,"ALCOHOL, CANNABIS, & TOBACCO"
NM Speech/Language and Hearing Association ,NM Speech/Language and Hearing Association ,HEALTHCARE
NM State Assoc. of Health Underwriters,NM State Association of Health Underwriters,INSURANCE
NM State Association of Health Underwriters,NM State Association of Health Underwriters,INSURANCE
NM State Investment Coucil,NM State Investment Council,BANKING & FINANCE
NM State Investment Council,NM State Investment Council,BANKING & FINANCE
NM Terminal Services,NM Terminal Services,TRANSPORTATION
NM Transform Education NM c/o New Mexico Center on Law and Poverty,NM Transform Education NM c/o New Mexico Center on Law and Poverty,EDUCATION
NM Wine Growers Association ,NM Wine Growers Association ,RANCHING & AGRICULTURE
NM Working Families Party,NM Working Families Party,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
NMA Ventures LLC,NMA Ventures LLC,BANKING & FINANCE
NMAC County Clerks Affiliate,NMAC County Clerks Affiliate,CITY & COUNTY GOVERNMENT
NMAER,NM Association of Educational Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
NMASW,NM Association of Social Workers,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
NMCAN,NMCAN,"SENIOR, FAMILY & YOUTH ADVOCACY"
NMKIds CAN,NMCAN,"SENIOR, FAMILY & YOUTH ADVOCACY"
NMPFFA,NM Professional Fire Fighters Association,LABOR & WORKFORCE
NMX Sports,NMX Sports,SPORTS
Nob Hill Mainstreet,Nob Hill Mainstreet,ECONOMIC & SUSTAINABLE DEVELOPMENT
Nob Hill NBRHD,Nob Hill NBRHD,REAL ESTATE & CONSTRUCTION
Nor-Lea Special Hospital District,Nor-Lea Special Hospital District,HEALTHCARE
North Central Regional Transit District,North Central Regional Transit District,TRANSPORTATION
North Central Solid Waste Authority,North Central Solid Waste Authority,WASTE MANAGEMENT
Northern Area Local Workforce Development Board,Northern Area Local Workforce Development Board,LABOR & WORKFORCE
Northern New Mexico College,Northern New Mexico College,EDUCATION
Northern NM College,Northern NM College,EDUCATION
Northern NM College ,Northern NM College,EDUCATION
Novartis Pharmaceuticals,Novartis Pharmaceuticals,PHARMACEUTICALS
"Novartis Service, Inc.",Novartis Pharmaceuticals,PHARMACEUTICALS
Novo Nordisk,Novo Nordisk,HEALTHCARE
"NRG Energy, Inc.","NRG Energy, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Nuestros Valores Charter School,Nuestros Valores Charter School,EDUCATION
Nurse Advice New Mexico,Nurse Advice New Mexico,HEALTHCARE
Nurse-Family Partnership,Nurse-Family Partnership,HEALTHCARE
"NuWater Resources, LLC","NuWater Resources, LLC",WATER RESOURCES
Oasis Vape,Oasis Vape,"ALCOHOL, CANNABIS, & TOBACCO"
Occidental Petroleum Corp,Occidental Petroleum Corp,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Occidental Petroleum Corp. DBA Occidental Permian,Occidental Petroleum Corp. DBA Occidental Permian,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Occidental Petroleum Corporation,Occidental Petroleum Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Ocean Waves,Ocean Waves,HEALTHCARE
Ohkay Owingeh,Ohkay Owingeh,TRIBAL GOVERNMENT
Oil & Gas Accountability Project,Oil & Gas Accountability Project,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Orchard Metal Capital Corp.,Orchard Metal Capital Corp.,BANKING & FINANCE
Organizers in the Land of Enchantment,Organizers in the Land of Enchantment,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Organizing for Action,Organizing for Action,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Organview Properties,Organview Properties,REAL ESTATE & CONSTRUCTION
Ortiz Mines,Ortiz Mines,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Otero Consulting,Otero Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Otero Consulting Luke Otero,Otero Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Otero County Economic Development Council,Inc","Otero County Economic Development Council,Inc",ECONOMIC & SUSTAINABLE DEVELOPMENT
"Otsuka America Pharmaceutical, Inc.","Otsuka America Pharmaceutical, Inc.",PHARMACEUTICALS
Oueis Vape ,Oueis Vape ,"ALCOHOL, CANNABIS, & TOBACCO"
"Pacific Dental Services, LLC.","Pacific Dental Services, LLC.",HEALTHCARE
Pacific Mesa Studios LLC,Pacific Mesa Studios LLC,FILM
Partnership for Affordable Clean Energy,Partnership for Affordable Clean Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Partnership for America's Health Care Future Action,Partnership for America's HEALTHCARE Care Future Action,HEALTHCARE
Partnership for Community Action,Partnership for Community Action,HEALTHCARE
Pattern Renewables 2 LP,Pattern Renewables 2 LP,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Pattern Renewables LP,Pattern Renewables 2 LP,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
PB & J Family Services,PB & J Family Services,"SENIOR, FAMILY & YOUTH ADVOCACY"
Peabody Energy,Peabody Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Peacock Myers ,Peacock Myers ,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Peanut Butter & Jelly Family Services,Peanut Butter & Jelly Family Services,HEALTHCARE
"Pearson Education, Inc. ","Pearson Education, Inc. ",EDUCATION
"Pebble Labs companies(Mermaid Bio, Iron Leaf, Little Fly)","Pebble Labs companies(Mermaid Bio, Iron Leaf, Little Fly)",INDUSTRY
Pecos Valley Artesian Conservancy District,Pecos Valley Artesian Conservancy District,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Penasco Independent Schools Dist. ,Penasco Independent Schools Dist. ,EDUCATION
Pendaries Village Mutual Domestic Water Consumers Assoc.,Pendaries Village Mutual Domestic Water Consumers Assoc.,WATER RESOURCES
"Penn National Gaming, Inc.","Penn National Gaming, Inc.",CASINO & GAMING
Pepsi Cola ,Pepsi Cola ,"RESTAURANT, FOOD & BEVERAGE "
PERA,Public Employee Retirement Association of NM ,BANKING & FINANCE
PERA Public Employee Retirement Assoc.,Public Employee Retirement Association of NM ,BANKING & FINANCE
Perfect Eyebrows,Perfect Eyebrows,RETAIL & CONSUMER RIGHTS
Performance Marketing Association,Performance Marketing Association,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Permian Basin Petroleum Association,Permian Basin Petroleum Association,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Pet Food Institute,Pet Food Institute,RETAIL & CONSUMER RIGHTS
Pete Padilla/ Manuel Mora Memorial Park,Pete Padilla/ Manuel Mora Memorial Park,ARTS & CULTURE
Pew Charitable Trust,Pew Charitable Trust,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"Pfizer, Inc. ","Pfizer, Inc. ",PHARMACEUTICALS
Pharma,Pharma,PHARMACEUTICALS
Pharmaceutical Research & Manufacturing of Americ ,Pharmaceutical Research & Manufacturing of Americ ,PHARMACEUTICALS
Philip Saltz,Philip Saltz,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Physicians for Fair Coverage,Physicians for Fair Coverage,HEALTHCARE
Physicians for the Health Security for NM Health ,Physicians for the HEALTHCARE Security for NM HEALTHCARE ,HEALTHCARE
Pine Gate Renewables,Pine Gate Renewables,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Pinnacle West Capital Corp. ,Pinnacle West Capital Corp. ,BANKING & FINANCE
Plains All American Pipeline,Plains All American Pipeline,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Planned Parenthood Assoc. of NM Affiliates,Planned Parenthood Assoc. of NM Affiliates,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Planned Parenthood NM Action Fund ,Planned Parenthood NM Action Fund ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Planned Parenthood of New Mexico,Planned Parenthood of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Planned Parenthood of the Rocky Mountains ,Planned Parenthood of the Rocky Mountains ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Plateau Telecommunications,Plateau Telecommunications,TELECOM
"Plumbers & Pipefitters, Local Union #412","Plumbers & Pipefitters, Local Union #412",LABOR & WORKFORCE
"PNE USA, Inc.","PNE USA, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
PNM,PNM,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Polaris Industries,Polaris Industries,TRANSPORTATION
Policy Solutions Institute,Policy Solutions Institute,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Poms & Associates,Poms & Associates,INSURANCE
"Portage, Inc.","Portage, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Preferred Care Partners Managment Group,Preferred Care Partners Managment Group,HEALTHCARE
Pre-K for Santa Fe Committee,Pre-K for Santa Fe Committee,EDUCATION
Premier Distributing Company,Premier Distributing Company,"ALCOHOL, CANNABIS, & TOBACCO"
Presbyterian Health Care Services,Presbyterian HEALTHCARE Care Services,HEALTHCARE
Presbyterian Health Plan,Presbyterian Health Plan,INSURANCE
Presbyterian Medical Services,Presbyterian Medical Services,HEALTHCARE
Presidio,Presidio,INFORMATION TECHNOLOGY
"Prime Therapeutics, LLC","Prime Therapeutics, LLC",HEALTHCARE
"Pro Oxygen, LLC","Pro Oxygen, LLC",RETAIL & CONSUMER RIGHTS
Professional Aerospace Contractors Assoc. of New Mexico,Professional Aerospace Contractors Association ,TRANSPORTATION
Professional Aerospace Contractors Association ,Professional Aerospace Contractors Association ,TRANSPORTATION
Professional Managment Group,Professional Managment Group,SPORTS
Prolacta Bioscience,Prolacta Bioscience,INDUSTRY
Property Casualty Insurers Association of America,Property Casualty Insurers Association of America,INSURANCE
Prosperity Works,Prosperity Works,ECONOMIC & SUSTAINABLE DEVELOPMENT
PROTECT,PROTECT,OTHER
Protect American Now (PAN ,Protect Americans Now,LAW ENFORCEMENT & CRIME
Protect Americans Future ,Protect Americans Future ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Protect Americans Now,Protect Americans Now,LAW ENFORCEMENT & CRIME
Psychiatric Medical Association of New Mexico,Psychiatric Medical Association of New Mexico,HEALTHCARE
"Psychiatric Solutions, Inc.","Psychiatric Solutions, Inc.",HEALTHCARE
Public Employee Retirement Association of NM ,Public Employee Retirement Association of NM ,BANKING & FINANCE
Public Service Company of NM,Public Service Company of NM,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Pueblo of Acoma,Pueblo of Acoma,TRIBAL GOVERNMENT
Pueblo of Isleta,Pueblo of Isleta,TRIBAL GOVERNMENT
Pueblo of Isleta ,Pueblo of Isleta ,TRIBAL GOVERNMENT
Pueblo of Laguna,Pueblo of Laguna,TRIBAL GOVERNMENT
Pueblo of Picuris ,Pueblo of Picuris ,TRIBAL GOVERNMENT
Pueblo of Pojoaque,Pueblo of Pojoaque,TRIBAL GOVERNMENT
Pueblo of San Felipe,Pueblo of San Felipe,TRIBAL GOVERNMENT
Pueblo of San Ilefonso,Pueblo of San Ilefonso,TRIBAL GOVERNMENT
Pueblo of Sandia,Pueblo of Sandia,TRIBAL GOVERNMENT
Pueblo of Santa Clara,Pueblo of Santa Clara,TRIBAL GOVERNMENT
Pueblo of Taos,Pueblo of Taos,TRIBAL GOVERNMENT
Pueblo of Zia ,Pueblo of Zia ,TRIBAL GOVERNMENT
Pueblo of Zuni,Pueblo of Zuni,TRIBAL GOVERNMENT
"Purdue Pharmaceutical, L.P.","Purdue Pharmaceutical, L.P.",PHARMACEUTICALS
PurLife,PurLife,"ALCOHOL, CANNABIS, & TOBACCO"
"QC Holdings, Inc. c/o Multistate Associates Inc. ","QC Holdings, Inc. c/o Multistate Associates Inc. ",BANKING & FINANCE
"QHCCS, LLC","QHCCS, LLC",HEALTHCARE
Qmetis,Qmetis,HEALTHCARE
Quay County Government,Quay County Government,CITY & COUNTY GOVERNMENT
Quick Bail Bonds ,Quick Bail Bonds ,BANKING & FINANCE
"Qwaltec, Incorporated","Qwaltec, Incorporated",TRANSPORTATION
Qwest Corporation,Qwest Corporation,TELECOM
RAI Services Company,RAI Services Company,"ALCOHOL, CANNABIS, & TOBACCO"
RANM,Realtors Association of New Mexico,REAL ESTATE & CONSTRUCTION
Raymond G. Sanchez,Raymond G. Sanchez,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Raytheon Company,Raytheon Company,INFORMATION TECHNOLOGY
RC Gaming LLC,RC Gaming LLC,CASINO & GAMING
Real Estate Central,Real Estate Central,REAL ESTATE & CONSTRUCTION
Real Estate Valuation Association,Real Estate Valuation Association,REAL ESTATE & CONSTRUCTION
Realtors Association of New Mexico,Realtors Association of New Mexico,REAL ESTATE & CONSTRUCTION
Rebellis,Rebellis,HEALTHCARE
Recarnation ,Recarnation ,TRANSPORTATION
"Reckitt Becnkiser Pharmaceuticals, Inc","Reckitt Becnkiser Pharmaceuticals, Inc",PHARMACEUTICALS
"Recording Industry Assoc. of America, Inc.","Recording Industry Assoc. of America, Inc.",ARTS & CULTURE
RECREATION VEHICLE INDUSTRY ASSOCIATION,RECREATION VEHICLE INDUSTRY ASSOCIATION,TRANSPORTATION
Red Arrow Entertainment,Red Arrow Entertainment,FILM
"Red Bull North America, Inc. ","Red Bull North America, Inc. ","RESTAURANT, FOOD & BEVERAGE "
Red River Charter School/Educational Foundation,Red River Charter School/Educational Foundation,EDUCATION
"Red River Ski Area, Inc.","Red River Ski Area, Inc.",TOURISM
Red Rock Retailers,Red Rock Retailers,RETAIL & CONSUMER RIGHTS
Reed Elsevier Inc. ,Reed Elsevier Inc. ,INFORMATION TECHNOLOGY
Reform Sex Offender Laws New Mexico ,Reform Sex Offender Laws New Mexico ,LAW ENFORCEMENT & CRIME
"Renewable Energy Group, Inc.","Renewable Energy Group, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Repeal the Death Penalty Coalition,Repeal the Death Penalty Coalition,LAW ENFORCEMENT & CRIME
Republicans for Environmental Protection NM Chapte,Republicans for Environmental Protection NM Chapte,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Resolana LLC,Resolana LLC,REAL ESTATE & CONSTRUCTION
Resources For Change,Resources For Change,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Responsible Metal Recylers Initiative,Responsible Metal Recylers Initiative,WASTE MANAGEMENT
Restaurant Opportunities Centers United,Restaurant Opportunities Centers United,"RESTAURANT, FOOD & BEVERAGE "
Restaurants of America ,Restaurants of America ,"RESTAURANT, FOOD & BEVERAGE "
Retired Public Employees of New Mexico,Retired Public Employees of New Mexico,BANKING & FINANCE
Reynold Greenleaf & Associates,Reynold Greenleaf & Associates,"ALCOHOL, CANNABIS, & TOBACCO"
RFK Charter School,RFK Charter School,EDUCATION
Ricardo Gonzales,Ricardo Gonzales,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Right to Life Committee of New Mexico,Right to Life Committee of New Mexico,RELIGIOUS ORGANIZATIONS
Rio Arriba County,Rio Arriba County,CITY & COUNTY GOVERNMENT
Rio Grande Behavioral Health,Rio Grande Behavioral HEALTHCARE,HEALTHCARE
Rio Grande Chapter Appraisal Institute/New Mexico,Rio Grande Chapter Appraisal Institute/New Mexico,REAL ESTATE & CONSTRUCTION
Rio Grande Chapter of the Sierra Club,Rio Grande Chapter of the Sierra Club,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Rio Grande Community Development Corporation,Rio Grande Community Development Corporation,REAL ESTATE & CONSTRUCTION
Rio Grande Kennel Club,Rio Grande Kennel Club,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Rio Grande Resources Corporation,Rio Grande Resources Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Rio Grande Restoration,Rio Grande Restoration,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Rio Rancho Public Schools,Rio Rancho Public Schools,EDUCATION
"RiskSense, Inc","RiskSense, Inc",INFORMATION TECHNOLOGY
"RJ Downs International, LLC /Rachel's Law","RJ Downs International, LLC /Rachel's Law",LAW ENFORCEMENT & CRIME
RLR Resources,RLR Resources,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Roadrunner Chapter Military Officer's Assoc. ,Roadrunner Chapter Military Officer's Assoc. ,MILITARY  & VETERANS
Roadrunner Little League,Roadrunner Little League,SPORTS
Robert Romero & Associates,Robert Romero & Associates,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Rocky Mountain Elk Foundation,Rocky Mountain Elk Foundation,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Rocky Mountain Farmers Union,Rocky Mountain Farmers Union,RANCHING & AGRICULTURE
Rocky Mountain Gold and Silver Exchange,Rocky Mountain Gold and Silver Exchange,
Rocky Mountain Synod-Evangelical Lutheran Church,Rocky Mountain Synod-Evangelical Lutheran Church,RELIGIOUS ORGANIZATIONS
Rodeo Property Inc.,Rodeo Property Inc.,REAL ESTATE & CONSTRUCTION
Rodey Law Firm C/O Gina Constant,Rodey Law Firm C/O Gina Constant,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Roedel, Parsons, Koch, Blache, Balhoff & McCollister","Roedel, Parsons, Koch, Blache, Balhoff & McCollister","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Romero's Consulting ,Romero's Consulting ,BANKING & FINANCE
Roosevelt County,Roosevelt County,CITY & COUNTY GOVERNMENT
Roosevelt County Rural Telephone Cooperative,Roosevelt County Rural Telephone Cooperative,TELECOM
Roosevelt County Special District ,Roosevelt County Special District ,CITY & COUNTY GOVERNMENT
Roosevelt Special Hospital District,Roosevelt Special Hospital District,HEALTHCARE
"Root Consulting, Inc","Root Consulting, Inc","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
RSoto,RSoto,OTHER
"Ruidoso Downs Racing, Inc.","Ruidoso Downs Racing, Inc.",CASINO & GAMING
Ruidoso Jockey Club ,Ruidoso Jockey Club ,CASINO & GAMING
Rural Community Assistance Corporation,Rural Community Assistance Corporation,ECONOMIC & SUSTAINABLE DEVELOPMENT
"Ryan Advocacy Services, LLC","Ryan Advocacy Services, LLC",BANKING & FINANCE
"Ryan, LLC","Ryan Advocacy Services, LLC",BANKING & FINANCE
Sacred Garden,Sacred Garden,"ALCOHOL, CANNABIS, & TOBACCO"
Sacred Wind Communications,Sacred Wind Communications,TELECOM
Safe House,Safe House,LAW ENFORCEMENT & CRIME
Safelite Group,Safelite Group,TRANSPORTATION
SAM Action Inc.,SAM Action Inc.,"ALCOHOL, CANNABIS, & TOBACCO"
Sam D. Ray,Sam D. Ray,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Samba Holdings,Samba Holdings,BANKING & FINANCE
Sambra Holdings,Samba Holdings,BANKING & FINANCE
San Juan Coal Company,San Juan Coal Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
San Juan College,San Juan College,EDUCATION
San Juan County,San Juan County,CITY & COUNTY GOVERNMENT
San Juan Regional Medical Center,San Juan Regional Medical Center,HEALTHCARE
"San Juan, IPA","San Juan, IPA",HEALTHCARE
San Miguel County,San Miguel County,CITY & COUNTY GOVERNMENT
Sandia Health Systems/Ardent,Sandia HEALTHCARE Systems/Ardent,HEALTHCARE
Sandia National Laboratories,Sandia National Laboratories,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Sandia Tobacco Manufacturers, Inc.","Sandia Tobacco Manufacturers, Inc.","ALCOHOL, CANNABIS, & TOBACCO"
Sandoval County,Sandoval County,CITY & COUNTY GOVERNMENT
Sandy Jones Const.,Sandy Jones Construction,REAL ESTATE & CONSTRUCTION
Sanofi Pasteur c/o Muitistate Associates Inc.,Sanofi Pasteur c/o Muitistate Associates Inc.,HEALTHCARE
Sanofi US,Sanofi US,HEALTHCARE
sanofi-aventis ,sanofi-aventis ,HEALTHCARE
Santa Ana Pueblo,Santa Ana Pueblo,TRIBAL GOVERNMENT
"Santa Fe Aero Services, LLC","Santa Fe Aero Services, LLC",TRANSPORTATION
Santa Fe Area Home Builders Association,Santa Fe Area Home Builders Association,REAL ESTATE & CONSTRUCTION
Santa Fe Association of Realtors,Santa Fe Association of Realtors,REAL ESTATE & CONSTRUCTION
Santa Fe Childrens Museum,Santa Fe Childrens Museum,ARTS & CULTURE
Santa Fe Community College,Santa Fe Community College,EDUCATION
Santa Fe County,Santa Fe County,CITY & COUNTY GOVERNMENT
Santa Fe County Corrections Dept.,Santa Fe County Corrections Dept.,LAW ENFORCEMENT & CRIME
Santa Fe Distillary dba Santa Fe Spirits,Santa Fe Distillary dba Santa Fe Spirits,"ALCOHOL, CANNABIS, & TOBACCO"
Santa Fe Farmers Market Institute,Santa Fe Farmers Market Institute,RANCHING & AGRICULTURE
Santa Fe Indian Center,Santa Fe Indian Center,ARTS & CULTURE
Santa Fe Indian School,Santa Fe Indian School,EDUCATION
Santa Fe International Folk Art Market ,Santa Fe International Folk Art Market ,ARTS & CULTURE
Santa Fe National Organization for Women,Santa Fe National Organization for Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Santa Fe Natural Tobacco Co.,Santa Fe Natural Tobacco Co.,"ALCOHOL, CANNABIS, & TOBACCO"
Santa Fe New Mexico (Now Organization For Women ,Santa Fe National Organization for Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
SANTA FE NOW,Santa Fe National Organization for Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Santa Fe Opera,Santa Fe Opera,ARTS & CULTURE
Santa Fe Properties,Santa Fe Properties,REAL ESTATE & CONSTRUCTION
Santa Fe Public Schools,Santa Fe Public Schools,EDUCATION
Santa Fe Recovery Center ,Santa Fe Recovery Center ,HEALTHCARE
Santa Fe Soccer Complex,Santa Fe Soccer Complex,SPORTS
Santa Fe University of Art and Design/Laureate Education,Santa Fe University of Art and Design/Laureate Education,EDUCATION
Santo Domingo Pueblo,Santo Domingo Pueblo,TRIBAL GOVERNMENT
SAS Institute,SAS Institute,INFORMATION TECHNOLOGY
"SaucedoChavez, PC","SaucedoChavez, PC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Save New Mexico Seed Coalition,Save New Mexico Seed Coalition,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Save the Children,Save the Children,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Save the Children Action Network,Save the Children,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Save the Children Federation, Inc. ",Save the Children,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
SBH-EL PASO LLC dba Peak Behavioral Health Services,SBH-EL PASO LLC dba Peak Behavioral HEALTHCARE Services,HEALTHCARE
Scepter Lab,Scepter Lab,"ALCOHOL, CANNABIS, & TOBACCO"
Scientific Games Corporation,Scientific Games Corporation,CASINO & GAMING
Scientific Games International (SGI),Scientific Games Corporation,CASINO & GAMING
Seamless Medical Systems,Seamless Medical Systems,HEALTHCARE
Secure Democracy,Secure Democracy,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Security Finance,Security Finance,BANKING & FINANCE
"Security Finance of New Mexico, LLC",Security Finance,BANKING & FINANCE
Security USA,Security Finance,BANKING & FINANCE
"Securus Technologies, Inc.","Securus Technologies, Inc.",INFORMATION TECHNOLOGY
Select Energy Services,Select Energy Services,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Select Management Resources, LLC","Select Management Resources, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Self Storage Association,Self Storage Association,INDUSTRY
"Self-Insurance Institute of America, Inc.","Self-Insurance Institute of America, Inc.",INSURANCE
Sellers Dorsey,Sellers Dorsey,HEALTHCARE
Service Contract Industry Council,Service Contract Industry Council,LABOR & WORKFORCE
"SFLL, Inc.","SFLL, Inc.","ALCOHOL, CANNABIS, & TOBACCO"
Sheet Metal Contractors Associatio of New Mexico,Sheet Metal Contractors Associatio of New Mexico,LABOR & WORKFORCE
"Sheet Metal, Air, Rail and Transportation Wokers Local 49","Sheet Metal, Air, Rail and Transportation Wokers Local 49",LABOR & WORKFORCE
Shell Oil Company,Shell Oil Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Shoats and Weaks, Inc.","Shoats and Weaks, Inc.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
SI Group Client Services,SI Group Client Services,PHARMACEUTICALS
"SID International, LLC",Society for International Development,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Sierra Club,Sierra Club Rio Grande Chapter,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Sierra Club Rio Grande Chapter,Sierra Club Rio Grande Chapter,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Sierra Land Surveying,Sierra Land Surveying,REAL ESTATE & CONSTRUCTION
