Orig_empl,Employer,Interest2
Central NM Community College (CNM),Central NM Community College (CNM),EDUCATION
Century Bank,Century Bank,BANKING & FINANCE
Century Link,Century Link,TELECOM
Century Tel Services Group ,Century Tel Services Group ,TELECOM
"Cerelink, Inc.","Cerelink, Inc.",INDUSTRY
Cesar Chavez Charter School,Cesar Chavez Charter School,EDUCATION
CH I St. Joseph's Children,CH I St. Joseph's Children,HEALTHCARE
Chama Troutstalkers LLC,Chama Troutstalkers LLC,RANCHING & AGRICULTURE
Champion Xpress/Dale Shine Xpress Car Wash,Champion Xpress/Dale Shine Xpress Car Wash,TRANSPORTATION
Channel Pinto Soil & Water Conservation District,Channel Pinto Soil & Water Conservation District,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"Cheery Valley Ranch LP, DBA The Marsh Ranch","Cheery Valley Ranch LP, DBA The Marsh Ranch",RANCHING & AGRICULTURE
Chesapeake Energy Corporation,Chesapeake Energy Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Chevron Mining, Inc.","Chevron Mining, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Chevron USA Inc., Its Parent Corp. Chevron Corp. ","Chevron USA Inc., Its Parent Corp. Chevron Corp. ","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
CHI St. Jospeh's Children,CHI St. Jospeh's Children,HEALTHCARE
Childrens Advocacy Centers of NM ,Childrens Advocacy Centers of NM ,"SENIOR, FAMILY & YOUTH ADVOCACY"
Children's Dental at Sonoma LLC,Children's Dental at Sonoma LLC,HEALTHCARE
Chirisa Capital Management,Chirisa Capital Management,BANKING & FINANCE
"Chiropratic Strategies, Inc.","Chiropratic Strategies, Inc.",HEALTHCARE
Chris E. Chavez,Chris E. Chavez,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Chris Larranaga Enterprises, Inc.","Chris Larranaga Enterprises, Inc.",HEALTHCARE
Christian Science Committee on Publication for NM,Christian Science Committee on Publication for NM,RELIGIOUS ORGANIZATIONS
CHRISTUS St. Vincent Regional Medical Center ,CHRISTUS St. Vincent Regional Medical Center ,HEALTHCARE
Chronic Disease Prevention Council,Chronic Disease Prevention Council,HEALTHCARE
"CHSPSC, LLC","CHSPSC, LLC",HEALTHCARE
Cien Aguas Green School Project (CAGSP),Cien Aguas Green School Project (CAGSP),EDUCATION
"Cigar Association of America, Inc.","Cigar Association of America, Inc.","ALCOHOL, CANNABIS, & TOBACCO"
Cigna Corp.,Cigna Corp.,INSURANCE
"Cigna Corporate Services, LLC","Cigna Corporate Services, LLC",INSURANCE
Cimarex Energy Company,Cimarex Energy Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Circle P of New Mexico, LLC","Circle P of New Mexico, LLC",REAL ESTATE & CONSTRUCTION
"Cisco Systems, Inc.","Cisco Systems, Inc.",INFORMATION TECHNOLOGY
Citigroup Managment Group,Citigroup Managment Group,BANKING & FINANCE
"Citigroup Washington, Inc.","Citigroup Washington, Inc.",BANKING & FINANCE
Citizens for Change New Mexico,Citizens for Change New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
City of Albuquerque,City of Albuquerque,CITY & COUNTY GOVERNMENT
City of Aztec,City of Aztec,CITY & COUNTY GOVERNMENT
City of Bloomfield,City of Bloomfield,CITY & COUNTY GOVERNMENT
City of Calrsbad,City of Calrsbad,CITY & COUNTY GOVERNMENT
