Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Marian Matthews for HD27,Marian Matthews for HD27,Marian Matthews,
Marian Matthews for Representative,Marian Matthews for Representative,Marian Matthews,
Marie Newman,Marie Newman,Marian Matthews,
Marion Mathews,Marion Mathews,Marian Matthews,
Marion Matthews,Marion Matthews,Marian Matthews,
CTE Rep. Marian Matthews,CTE Rep. Marian Matthews,Marian Matthews,
Rep. Mark Armijo,Rep. Mark Armijo,Mark Armijo,
Committee to Elect Mark Moores,Committee to Elect Mark Moores,Mark Moores,
Committee to Elect Mark Moores (VNB) ,Committee to Elect Mark Moores (VNB),Mark Moores,
Committee to Elect Senator Mark Moores ,Committee to Elect Senator Mark Moores,Mark Moores,
Committee to Re-Elect Mark Moore (VNB) ,Committee to Re-Elect Mark Moore (VNB),Mark Moores,
Committee to Re-elect Mark Moores,Committee to Re-elect Mark Moores,Mark Moores,
Committee to Re-elect Mark Moores ,Committee to Re-elect Mark Moores,Mark Moores,
Committee to Re-Elect Mark Moores (Nicholas Button,Committee to Re-Elect Mark Moores (Nicholas Button,Mark Moores,
Mark David Moore,Mark David Moore,Mark Moores,
Mark Moore,Mark Moore,Mark Moores,
Mark Moores,Mark Moores,Mark Moores,
Mark Moores ,Mark Moores,Mark Moores,
Mark Moores (Lovelace) ,Mark Moores (Lovelace),Mark Moores,
Mark Moores Campaign,Mark Moores Campaign,Mark Moores,
Mark Moores for Senate,Mark Moores for Senate,Mark Moores,
Mark Moores for Senate ,Mark Moores for Senate,Mark Moores,
Mark Moores for Senator,Mark Moores for Senator,Mark Moores,
Mark Moores for State Senate,Mark Moores for State Senate,Mark Moores,
 Mark Moores Re-Elect ,Mark Moores Re-Elect,Mark Moores,
Mark Moors,Mark Moors,Mark Moores,
Moores,Moores,Mark Moores,
"Moores, Mark","Moores, Mark",Mark Moores,
Sen Mark Moores,Sen Mark Moores,Mark Moores,
Sen Mark Moores   Duplicate to Dan Weaks,Sen Mark Moores Duplicate to Dan Weaks,Mark Moores,
Sen Mark Moores  Duplicate to Dan Weaks,Sen Mark Moores Duplicate to Dan Weaks,Mark Moores,
Sen Mark Moores  Duplicate to Marla Shoats,Sen Mark Moores Duplicate to Marla Shoats,Mark Moores,
Sen Moores for Senate(Ck from Union Pacific),Sen Moores for Senate(Ck from Union Pacific),Mark Moores,
Sen. Mark Moore,Sen. Mark Moore,Mark Moores,
Sen. Mark Moores,Sen. Mark Moores,Mark Moores,
Senator Mark Moores,Senator Mark Moores,Mark Moores,
Senator Mark Moores~Duplicate to Dan Weaks,Senator Mark Moores~Duplicate to Dan Weaks,Mark Moores,
Senator Mark Moores~Duplicate to Marla Shoats,Senator Mark Moores~Duplicate to Marla Shoats,Mark Moores,
CTE Senator Mark Moores,CTE Senator Mark Moores,Mark Moores,
Elect Mark Moores,Elect Mark Moores,Mark Moores,
Martin Zamora,Martin Zamora,Martin R. Zamora,
Martin Zamora Campaign,Martin Zamora Campaign,Martin R. Zamora,
Martin Zamora Committee,Martin Zamora Committee,Martin R. Zamora,
Martin Zamora for State Representative,Martin Zamora for State Representative,Martin R. Zamora,
Rep. Martin Zamora,Rep. Martin Zamora,Martin R. Zamora,
Committee to Re-Elect Mary Helen Garcia (QC),Committee to Re-Elect Mary Helen Garcia (QC),Mary Helen Garcia,
Committee to Re-Elect Mary Helen Garcia (VN) ,Committee to Re-Elect Mary Helen Garcia (VN),Mary Helen Garcia,
Mary Helen Garcia,Mary Helen Garcia,Mary Helen Garcia,
Mary Helen Garcia (on behalf of Occidental),Mary Helen Garcia (on behalf of Occidental),Mary Helen Garcia,
Mary Helen Garcia  Duplicate to Dan Weaks,Mary Helen Garcia Duplicate to Dan Weaks,Mary Helen Garcia,
Mary Helen Garcia  Duplicate to Marla Shoats,Mary Helen Garcia Duplicate to Marla Shoats,Mary Helen Garcia,
Mary Helen Garcia Re-Elect,Mary Helen Garcia Re-Elect,Mary Helen Garcia,
Papen for Senate (Axcess Financial) ,Papen for Senate (Axcess Financial),Mary Kay Papen,
Mary K. Papen Committee ,Mary K. Papen Committee,Mary Kay Papen,
CTE Mary Papen (Dup to Marla Shoats),CTE Mary Papen (Dup to Marla Shoats),Mary Kay Papen,
CTE Sen. Mary Kay Papen,CTE Sen. Mary Kay Papen,Mary Kay Papen,
CTE Senator Mary Kay Papen ,CTE Senator Mary Kay Papen,Mary Kay Papen,
Re-elect Mary Kay Papen,Re-elect Mary Kay Papen,Mary Kay Papen,
Campaign to Re-Elect Mary Kay Papen,Campaign to Re-Elect Mary Kay Papen,Mary Kay Papen,
Committee Elect May Kay Papen,Committee Elect May Kay Papen,Mary Kay Papen,
Committee to Elect Mary Kay Papen,Committee to Elect Mary Kay Papen,Mary Kay Papen,
Committee to Elect Mary Kay Papen ,Committee to Elect Mary Kay Papen,Mary Kay Papen,
Committee to Elect Mary Kay Papen (State Senate),Committee to Elect Mary Kay Papen (State Senate),Mary Kay Papen,
Committee to Re-Elect Mary K. Papen,Committee to Re-Elect Mary K. Papen,Mary Kay Papen,
Committee to Re-Elect Mary Kay Papen,Committee to Re-Elect Mary Kay Papen,Mary Kay Papen,
Committeee to Elect Mary Kay Papen (VNB) ,Committeee to Elect Mary Kay Papen (VNB),Mary Kay Papen,
Comte to Elect Sen Papen(Ck from Union Pacific),Comte to Elect Sen Papen(Ck from Union Pacific),Mary Kay Papen,
Mary Kay Papen,Mary Kay Papen,Mary Kay Papen,
Mary Kay Papen ,Mary Kay Papen,Mary Kay Papen,
Mary Kay Papen (Lovelace) ,Mary Kay Papen (Lovelace),Mary Kay Papen,
Mary Kay Papen Campaign (Ace Cash Express) ,Mary Kay Papen Campaign (Ace Cash Express),Mary Kay Papen,
Mary Kay Papen Committee,Mary Kay Papen Committee,Mary Kay Papen,
Mary Kay Papen for Senate,Mary Kay Papen for Senate,Mary Kay Papen,
Mary Kay Papen for Senator,Mary Kay Papen for Senator,Mary Kay Papen,
Mary Kay Papen for tw telecom,Mary Kay Papen for tw telecom,Mary Kay Papen,
 Mary Kay Papen Re-Elect ,Mary Kay Papen Re-Elect,Mary Kay Papen,
Mary Kay Pappen,Mary Kay Pappen,Mary Kay Papen,
Mary Kay Pappen (client),Mary Kay Pappen (client),Mary Kay Papen,
Mary Kay Pappen for NM State Senate,Mary Kay Pappen for NM State Senate,Mary Kay Papen,
Sen Mary Kay Papen,Sen Mary Kay Papen,Mary Kay Papen,
Sen Mary Kay Papen  Duplicate to Dan Weaks,Sen Mary Kay Papen Duplicate to Dan Weaks,Mary Kay Papen,
Sen Mary Kay Papen  Duplicate to Marla Shoats,Sen Mary Kay Papen Duplicate to Marla Shoats,Mary Kay Papen,
Sen. Mary Kay Papen,Sen. Mary Kay Papen,Mary Kay Papen,
Senator Mary K Papen~Duplicate to Dan Weaks,Senator Mary K Papen~Duplicate to Dan Weaks,Mary Kay Papen,
Senator Mary K Papen~Duplicate to Marla Shoats,Senator Mary K Papen~Duplicate to Marla Shoats,Mary Kay Papen,
Senator Mary K. Papen,Senator Mary K. Papen,Mary Kay Papen,
Senator Mary Kay Papen,Senator Mary Kay Papen,Mary Kay Papen,
Senator Mary Kay Papen ,Senator Mary Kay Papen,Mary Kay Papen,
Senator Mary Kay Papen  (In-Kind),Senator Mary Kay Papen (In-Kind),Mary Kay Papen,
Senator Mary Kay Papen on behalf of Occidental,Senator Mary Kay Papen on behalf of Occidental,Mary Kay Papen,
Senator Papen,Senator Papen,Mary Kay Papen,
Mary K Kuper Papen,Mary K Kuper Papen,Mary Kay Papen,
Mary K. Kuper Papen,Mary K. Kuper Papen,Mary Kay Papen,
CTE Mary Kay Papen (Dup to Dan Weaks),CTE Mary Kay Papen (Dup to Dan Weaks),Mary Kay Papen,
Elect Mary Kay Papen,Elect Mary Kay Papen,Mary Kay Papen,
Committee to Elect Matthew McQueen,Committee to Elect Matthew McQueen,Matthew McQueen,
Committee to Elect Matthew McQueen ,Committee to Elect Matthew McQueen,Matthew McQueen,
Committee to Re-elect Mattew McQueen,Committee to Re-elect Mattew McQueen,Matthew McQueen,
Committee to Re-elect Matthew McQueen,Committee to Re-elect Matthew McQueen,Matthew McQueen,
Matt McQueen,Matt McQueen,Matthew McQueen,
Matthew Mc Queen,Matthew Mc Queen,Matthew McQueen,
Matthew McQueen,Matthew McQueen,Matthew McQueen,
Matthew McQueen ,Matthew McQueen,Matthew McQueen,
"Matthew McQueen, candidate for St. Representative","Matthew McQueen, candidate for St. Representative",Matthew McQueen,
"Matthew McQueen, candidate for State Representativ","Matthew McQueen, candidate for State Representativ",Matthew McQueen,
Steve McQueen,Steve McQueen,Matthew McQueen,
Rep Matthew McQueen,Rep Matthew McQueen,Matthew McQueen,
Rep. Matt McQueen,Rep. Matt McQueen,Matthew McQueen,
Rep. Matthew McQueen,Rep. Matthew McQueen,Matthew McQueen,
Rep. Matthew McQueen ,Rep. Matthew McQueen,Matthew McQueen,
CTE Rep.Mathew McQueen ,CTE Rep.Mathew McQueen,Matthew McQueen,
Representative Matthew McQueen,Representative Matthew McQueen,Matthew McQueen,
Mathew McQueen for NM House,Mathew McQueen for NM House,Matthew McQueen,
Representative McQueen,Representative McQueen,Matthew McQueen,
Committee to Elect Melanie Stansbury,Committee to Elect Melanie Stansbury,Melanie A. Stansbury,
Committee to Re-elect Melanie Stansbury,Committee to Re-elect Melanie Stansbury,Melanie A. Stansbury,
Melaine Stansberry,Melaine Stansberry,Melanie A. Stansbury,
Melanie Stanbury,Melanie Stanbury,Melanie A. Stansbury,
Melanie Stansbury,Melanie Stansbury,Melanie A. Stansbury,
Melanie Stansbury ,Melanie Stansbury,Melanie A. Stansbury,
Melanine Stansberry,Melanine Stansberry,Melanie A. Stansbury,
Meliane Stansbury,Meliane Stansbury,Melanie A. Stansbury,
Representative Stansbury,Representative Stansbury,Melanie A. Stansbury,
CTE Rep. Meredith Dixon,CTE Rep. Meredith Dixon,Meredith Dixon,
Meredith Dixon for N.M. House of Representatives ,Meredith Dixon for N.M. House of Representatives,Meredith Dixon,
Meredith Dixon for New Mexico (State House),Meredith Dixon for New Mexico (State House),Meredith Dixon,
Elect Micaela Cadena,Elect Micaela Cadena,Micaela Cadena,
Rep. Micaela Cadena,Rep. Micaela Cadena,Micaela Cadena,
Cmte. to Elect Micaela Lara Cadena (State House),Cmte. to Elect Micaela Lara Cadena (State House),Micaela Lara Cadena,
Committee to Elect Micaela Cadena ,Committee to Elect Micaela Cadena,Micaela Lara Cadena,
Committee to Elect Micaela L. Cadena,Committee to Elect Micaela L. Cadena,Micaela Lara Cadena,
Committee to Elect Micaela L. Cadena ,Committee to Elect Micaela L. Cadena,Micaela Lara Cadena,
Committee to Elect Micaela Lara Cadena,Committee to Elect Micaela Lara Cadena,Micaela Lara Cadena,
Committee to elect Micaela Lara Cadena ,Committee to elect Micaela Lara Cadena,Micaela Lara Cadena,
Committee to Re-elect Micaela Cadena,Committee to Re-elect Micaela Cadena,Micaela Lara Cadena,
Micaela Cadeï¿½a,Micaela Cadeï¿½a,Micaela Lara Cadena,
Micaela Cadena,Micaela Cadena,Micaela Lara Cadena,
Micaela Cadena ,Micaela Cadena,Micaela Lara Cadena,
Micaela Cadena Commitee to Elect,Micaela Cadena Commitee to Elect,Micaela Lara Cadena,
Micaela Cadena Committee,Micaela Cadena Committee,Micaela Lara Cadena,
 Micaela Lara Cadena,Micaela Lara Cadena,Micaela Lara Cadena,
Micaela Lara Cadena,Micaela Lara Cadena,Micaela Lara Cadena,
Micaela Lara Cadena ,Micaela Lara Cadena,Micaela Lara Cadena,
Micaela Lara Cardena,Micaela Lara Cardena,Micaela Lara Cadena,
Micalea Lara Cadena,Micalea Lara Cadena,Micaela Lara Cadena,
miceala Cadena,miceala Cadena,Micaela Lara Cadena,
Michaela Cadena,Michaela Cadena,Micaela Lara Cadena,
Michaela lara Cadena,Michaela lara Cadena,Micaela Lara Cadena,
Committee to Elect Michael Padilla,Committee to Elect Michael Padilla,Michael Padilla,
Committee to elect Michael Padilla ,Committee to elect Michael Padilla,Michael Padilla,
Committee to Re-elect Michael Padilla,Committee to Re-elect Michael Padilla,Michael Padilla,
Michael Padila,Michael Padila,Michael Padilla,
Michael  Padilla,Michael Padilla,Michael Padilla,
Michael Padilla,Michael Padilla,Michael Padilla,
Michael Padilla ,Michael Padilla,Michael Padilla,
Michael Padilla   ,Michael Padilla,Michael Padilla,
Michael Padilla (Client),Michael Padilla (Client),Michael Padilla,
Michael Padilla (for Isleta Pueblo),Michael Padilla (for Isleta Pueblo),Michael Padilla,
Michael Padilla (Lovelace) ,Michael Padilla (Lovelace),Michael Padilla,
Michael Padilla Campaign (Ace Cash Express) ,Michael Padilla Campaign (Ace Cash Express),Michael Padilla,
Michael Padilla Committee,Michael Padilla Committee,Michael Padilla,
Michael Padilla Committee ,Michael Padilla Committee,Michael Padilla,
Michael Padilla for Lt. Gov.,Michael Padilla for Lt. Gov.,Michael Padilla,
Michael Padilla for Senate,Michael Padilla for Senate,Michael Padilla,
Michael Padilla for Senator,Michael Padilla for Senator,Michael Padilla,
Michael Padilla for State Senate (VNB) ,Michael Padilla for State Senate (VNB),Michael Padilla,
Michael Padilla for State Senator,Michael Padilla for State Senator,Michael Padilla,
Michael Padilla for State Senator ,Michael Padilla for State Senator,Michael Padilla,
Michael Padilla for tw telecom,Michael Padilla for tw telecom,Michael Padilla,
"Michael Padilla	","Michael Padilla	",Michael Padilla,
Michal Padilla,Michal Padilla,Michael Padilla,
Micheal Padilla,Micheal Padilla,Michael Padilla,
Sen Michael Padilla,Sen Michael Padilla,Michael Padilla,
Sen Michael Padilla  Duplicate to Dan Weaks,Sen Michael Padilla Duplicate to Dan Weaks,Michael Padilla,
Sen Michael Padilla  Duplicate to Marla Shoats,Sen Michael Padilla Duplicate to Marla Shoats,Michael Padilla,
Sen. Michael Padilla,Sen. Michael Padilla,Michael Padilla,
Sen. Michael Padilla  (T-Mobile),Sen. Michael Padilla (T-Mobile),Michael Padilla,
Sen. Michael Padilla for Lt. Gov.,Sen. Michael Padilla for Lt. Gov.,Michael Padilla,
Sen. Michael Padilla for Lt. Governor,Sen. Michael Padilla for Lt. Governor,Michael Padilla,
Senator Michael Padilla,Senator Michael Padilla,Michael Padilla,
Senator Michael Padilla ,Senator Michael Padilla,Michael Padilla,
Senator Michael Padilla~Duplicate to Dan Weaks,Senator Michael Padilla~Duplicate to Dan Weaks,Michael Padilla,
Senator Michael Padilla~Duplicate to Marla Shoats,Senator Michael Padilla~Duplicate to Marla Shoats,Michael Padilla,
Senator Micheal Padilla,Senator Micheal Padilla,Michael Padilla,
CTE Sen. Michael Padilla,CTE Sen. Michael Padilla,Michael Padilla,
CTE Senator Michael Padilla,CTE Senator Michael Padilla,Michael Padilla,
CTE Sen Michael Padilla (Duplicate to Dan Weaks),CTE Sen Michael Padilla (Duplicate to Dan Weaks),Michael Padilla,
CTE Sen Michael Padilla (Duplicate to Marla Shoat),CTE Sen Michael Padilla (Duplicate to Marla Shoat),Michael Padilla,
Elect Michael Padilla,Elect Michael Padilla,Michael Padilla,
Committee to Elect Michael Sanchez,Committee to Elect Michael Sanchez,Michael S. Sanchez,
Committee to Re-Elect Michael Sanchez,Committee to Re-Elect Michael Sanchez,Michael S. Sanchez,
Committee to Re-Elect Michael Sanchez (Cash Am.) ,Committee to Re-Elect Michael Sanchez (Cash Am.),Michael S. Sanchez,
Committee to Re-Elect Michael Sanchez (VNB),Committee to Re-Elect Michael Sanchez (VNB),Michael S. Sanchez,
Committee to Re-Elect Michael Sanchez (VNB) ,Committee to Re-Elect Michael Sanchez (VNB),Michael S. Sanchez,
Michael S. Sanchez,Michael S. Sanchez,Michael S. Sanchez,
Michael Sanchez,Michael Sanchez,Michael S. Sanchez,
Michael Sanchez ,Michael Sanchez,Michael S. Sanchez,
Michael Sanchez (client),Michael Sanchez (client),Michael S. Sanchez,
Michael Sanchez (Lovelace) ,Michael Sanchez (Lovelace),Michael S. Sanchez,
Michael Sanchez Campaign (Ace Cash Express) ,Michael Sanchez Campaign (Ace Cash Express),Michael S. Sanchez,
Michael Sanchez Campaign Fund,Michael Sanchez Campaign Fund,Michael S. Sanchez,
"Michael Sanchez for Indian Pueblo Marketing, Inc","Michael Sanchez for Indian Pueblo Marketing, Inc",Michael S. Sanchez,
Michael Sanchez for IPMI,Michael Sanchez for IPMI,Michael S. Sanchez,
Michael Sanchez for NextEra,Michael Sanchez for NextEra,Michael S. Sanchez,
Michael Sanchez for NM Senate (for Isleta Pueblo),Michael Sanchez for NM Senate (for Isleta Pueblo),Michael S. Sanchez,
Michael Sanchez for Senate,Michael Sanchez for Senate,Michael S. Sanchez,
Michael Sanchez for Senate (Axcess Financial) ,Michael Sanchez for Senate (Axcess Financial),Michael S. Sanchez,
Michael Sanchez for Senate (QC Holdings) ,Michael Sanchez for Senate (QC Holdings),Michael S. Sanchez,
Michael Sanchez for Senator,Michael Sanchez for Senator,Michael S. Sanchez,
Michael Sanchez for State Senate,Michael Sanchez for State Senate,Michael S. Sanchez,
Michael Sanchez for State Senate or his leadership,Michael Sanchez for State Senate or his leadership,Michael S. Sanchez,
Michael Sanchez for tw telecom,Michael Sanchez for tw telecom,Michael S. Sanchez,
Michael Sanchez Re-Elect,Michael Sanchez Re-Elect,Michael S. Sanchez,
"Michael Sanchez, candidate for State Senate","Michael Sanchez, candidate for State Senate",Michael S. Sanchez,
Micheal Sanchez,Micheal Sanchez,Michael S. Sanchez,
Sen Michael Sanchez,Sen Michael Sanchez,Michael S. Sanchez,
"Sen. Majority Leadership Fund, Michael Sanchez","Sen. Majority Leadership Fund, Michael Sanchez",Michael S. Sanchez,
Sen. Michael Sanchez,Sen. Michael Sanchez,Michael S. Sanchez,
Sen. Michael Sanchez   (T-Mobile),Sen. Michael Sanchez (T-Mobile),Michael S. Sanchez,
"Sen. Michael Sanchez, Leadership Fund","Sen. Michael Sanchez, Leadership Fund",Michael S. Sanchez,
Senator Michael Sanchez,Senator Michael Sanchez,Michael S. Sanchez,
CTE Sen Michael M. Sanchez (Dup To Marla Shoats),CTE Sen Michael M. Sanchez (Dup To Marla Shoats),Michael S. Sanchez,
CTE Sen Michael M. Sanchez (Duplicate To Dan Weaks,CTE Sen Michael M. Sanchez (Duplicate To Dan Weaks,Michael S. Sanchez,
Elect Michael Sanchez,Elect Michael Sanchez,Michael S. Sanchez,
Michael Trujillo for Chaves County Commissioner,Michael Trujillo for Chaves County Commissioner,Michael Trujillo,
Rep. Miguel Garcia,Rep. Miguel Garcia,Miguel P. Garcia,
Committee to Re-elect Miguel Garcia,Committee to Re-elect Miguel Garcia,Miguel P. Garcia,
Miguel Garcia,Miguel Garcia,Miguel P. Garcia,
Miguel Garcia ,Miguel Garcia,Miguel P. Garcia,
Miguel Garcia Committee,Miguel Garcia Committee,Miguel P. Garcia,
Miguel Garcia for Representative,Miguel Garcia for Representative,Miguel P. Garcia,
Rep Mimi Stewart~Duplicate to Dan Weaks,Rep Mimi Stewart~Duplicate to Dan Weaks,Mimi Stewart,
Rep Mimi Stewart~Duplicate to Marla Shoats,Rep Mimi Stewart~Duplicate to Marla Shoats,Mimi Stewart,
Senate Victory Fund (Mimi Stewart),Senate Victory Fund (Mimi Stewart),Mimi Stewart,
Committee to Elect Mimi Stewart,Committee to Elect Mimi Stewart,Mimi Stewart,
Committee to elect Mimi Stewart ,Committee to elect Mimi Stewart,Mimi Stewart,
Committee to Elect Senator Mimi Stewart,Committee to Elect Senator Mimi Stewart,Mimi Stewart,
Committee to Elect Senator Mimi Stewart ,Committee to Elect Senator Mimi Stewart,Mimi Stewart,
Committee to Re-elect Mimi Stewart,Committee to Re-elect Mimi Stewart,Mimi Stewart,
Mimi Steward,Mimi Steward,Mimi Stewart,
Mimi Stewart,Mimi Stewart,Mimi Stewart,
Mimi Stewart ,Mimi Stewart,Mimi Stewart,
"Mimi Stewart (for Indian Pueblo Marketing, Inc)","Mimi Stewart (for Indian Pueblo Marketing, Inc)",Mimi Stewart,
Mimi Stewart (Lovelace) ,Mimi Stewart (Lovelace),Mimi Stewart,
 Mimi Stewart Campaign ,Mimi Stewart Campaign,Mimi Stewart,
Mimi Stewart Committee,Mimi Stewart Committee,Mimi Stewart,
Mimi Stewart for IPMI,Mimi Stewart for IPMI,Mimi Stewart,
Mimi Stewart for Senate,Mimi Stewart for Senate,Mimi Stewart,
Mimi Stewart for State Representative,Mimi Stewart for State Representative,Mimi Stewart,
Mimi Stewart for tw telecom,Mimi Stewart for tw telecom,Mimi Stewart,
Mimi Stewart Re-Elect,Mimi Stewart Re-Elect,Mimi Stewart,
Mimi Stewart WHIP PAC,Mimi Stewart WHIP PAC,Mimi Stewart,
Mimi Stewart Whip PAC ,Mimi Stewart Whip PAC,Mimi Stewart,
Mini Stewart,Mini Stewart,Mimi Stewart,
People for Mimi Steward,People for Mimi Steward,Mimi Stewart,
People for Mimi Stewart,People for Mimi Stewart,Mimi Stewart,
People for Mimi Stewart ,People for Mimi Stewart,Mimi Stewart,
Sen Mimi Stewart,Sen Mimi Stewart,Mimi Stewart,
Sen Mimi Stewart (Duplicate to Dam Weaks),Sen Mimi Stewart (Duplicate to Dam Weaks),Mimi Stewart,
Sen Mimi Stewart (Duplicate to Marla Shoats),Sen Mimi Stewart (Duplicate to Marla Shoats),Mimi Stewart,
Sen. Mimi Stewart,Sen. Mimi Stewart,Mimi Stewart,
Sen. Mimi Stuart,Sen. Mimi Stuart,Mimi Stewart,
Senator Mimi Stewart,Senator Mimi Stewart,Mimi Stewart,
"Senator Mimi Stewart, ABQ Forward Together","Senator Mimi Stewart, ABQ Forward Together",Mimi Stewart,
Senator Mimi Stuart,Senator Mimi Stuart,Mimi Stewart,
CTE Rep Mimi Stewart,CTE Rep Mimi Stewart,Mimi Stewart,
CTE Rep Mimi Stewart ,CTE Rep Mimi Stewart,Mimi Stewart,
CTE Sen. Mimi Stewart,CTE Sen. Mimi Stewart,Mimi Stewart,
CTE Senator Mimi Stewart,CTE Senator Mimi Stewart,Mimi Stewart,
State Senator Mimi Stewart,State Senator Mimi Stewart,Mimi Stewart,
CTE Mimi Stewart ,CTE Mimi Stewart,Mimi Stewart,
Keep Mimi Stewart,Keep Mimi Stewart,Mimi Stewart,
Rep. Mimi Stewart,Rep. Mimi Stewart,Mimi Stewart,
Elect Monica Youngblood,Elect Monica Youngblood,Monica Youngblood,
CTE Remp. Monica Youngblood ,CTE Remp. Monica Youngblood,Monica Youngblood,
CTE Rep Monica Youngblood,CTE Rep Monica Youngblood,Monica Youngblood,
CTE Rep. Monica Youngblood,CTE Rep. Monica Youngblood,Monica Youngblood,
CTE Senator Monica Youngblood,CTE Senator Monica Youngblood,Monica Youngblood,
Rep Monica Youngblood  Duplicate to Dan Weaks,Rep Monica Youngblood Duplicate to Dan Weaks,Monica Youngblood,
